BGP_ID,Group,Lat,Long
25N03100,Cluster_18,50.164998,-97.127082
25N03101,Cluster_18,50.164998,-97.127082
25N03102,Cluster_18,50.164998,-97.127082
25N03103,Cluster_18,50.164998,-97.127082
25N03104,Cluster_18,50.164998,-97.127082
25N03105,Cluster_18,50.164998,-97.127082
25N03106,Cluster_18,50.164998,-97.127082
25N03107,Cluster_18,50.164998,-97.127082
25N03108,Cluster_18,50.164998,-97.127082
25N13574,Cluster_19,44.4478984,-106.7417194
25N13576,Cluster_19,44.4478984,-106.7417194
25N13577,Cluster_19,44.4478984,-106.7417194
25N13578,Cluster_19,44.4478984,-106.7417194
25N13579,Cluster_19,44.4478984,-106.7417194
25N13580,Cluster_19,44.4478984,-106.7417194
25N13581,Cluster_19,44.4478984,-106.7417194
25N13582,Cluster_19,44.4478984,-106.7417194
25N13583,Cluster_19,44.4478984,-106.7417194
25N13584,Cluster_19,44.4478984,-106.7417194
25N13585,Cluster_19,44.4478984,-106.7417194
25N13586,Cluster_19,44.4478984,-106.7417194
25N13631,Cluster_20,41.1170592,-104.7318117
25N13632,Cluster_20,41.1170592,-104.7318117
25N13633,Cluster_20,41.1170592,-104.7318117
25N13634,Cluster_20,41.1170592,-104.7318117
25N13635,Cluster_20,41.1170592,-104.7318117
25N17421,Cluster_21,46.724742,-113.643808
25N17422,Cluster_21,46.724742,-113.643808
25N17423,Cluster_21,46.724742,-113.643808
25N17424,Cluster_21,46.724742,-113.643808
25N17425,Cluster_21,46.724742,-113.643808
25N17426,Cluster_21,46.724742,-113.643808
25N17427,Cluster_21,46.724742,-113.643808
25N17428,Cluster_21,46.724742,-113.643808
25N17429,Cluster_21,46.724742,-113.643808
25N17430,Cluster_21,46.724742,-113.643808
25N17431,Cluster_21,46.724742,-113.643808
25N17432,Cluster_21,46.724742,-113.643808
25N19612,Cluster_22,46.8751561,-98.6351419
25N19613,Cluster_22,46.8751561,-98.6351419
25N19614,Cluster_22,46.8751561,-98.6351419
25N19615,Cluster_22,46.8751561,-98.6351419
25N19616,Cluster_22,46.8751561,-98.6351419
25N19617,Cluster_22,46.8751561,-98.6351419
24N21269,Cluster_22,46.87276,-98.6341
