BGP_ID	Long	Lat	bio01	bio02	bio03	bio04	bio05	bio06	bio07	bio08	bio09	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	clay	sand	cfvo
24N02403	-134.850618	60.63708	-0.574999999999974	8.496875	0.21390625	1110.315625	19.33125	-20.38125	39.7125	13.471875	-6.62187499999997	13.471875	-15.028125	342.15625	49.19375	8.715625	42.5875	136.2625	42.109375	136.2625	66.640625	138.293269230769	554.471153846154	187.334134615385
24N02404	-134.850618	60.63708	-0.574999999999974	8.496875	0.21390625	1110.315625	19.33125	-20.38125	39.7125	13.471875	-6.62187499999997	13.471875	-15.028125	342.15625	49.19375	8.715625	42.5875	136.2625	42.109375	136.2625	66.640625	138.293269230769	554.471153846154	187.334134615385
24N02406	-134.850618	60.63708	-0.574999999999974	8.496875	0.21390625	1110.315625	19.33125	-20.38125	39.7125	13.471875	-6.62187499999997	13.471875	-15.028125	342.15625	49.19375	8.715625	42.5875	136.2625	42.109375	136.2625	66.640625	138.293269230769	554.471153846154	187.334134615385
24N02407	-134.850618	60.63708	-0.574999999999974	8.496875	0.21390625	1110.315625	19.33125	-20.38125	39.7125	13.471875	-6.62187499999997	13.471875	-15.028125	342.15625	49.19375	8.715625	42.5875	136.2625	42.109375	136.2625	66.640625	138.293269230769	554.471153846154	187.334134615385
24N02408	-134.850618	60.63708	-0.574999999999974	8.496875	0.21390625	1110.315625	19.33125	-20.38125	39.7125	13.471875	-6.62187499999997	13.471875	-15.028125	342.15625	49.19375	8.715625	42.5875	136.2625	42.109375	136.2625	66.640625	138.293269230769	554.471153846154	187.334134615385
24N02440	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02441	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02442	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02443	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02444	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02445	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02446	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02447	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02448	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02449	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02450	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02451	-62.751505	45.962235	5.99347826086959	4.97391304347826	0.161826086956522	880.313043478261	21.1456521739131	-9.55869565217387	30.7043478260869	4.16739130434786	-2.44565217391302	17.4065217391305	-5.17608695652171	1240.21739130435	129.891304347826	83.004347826087	15.5913043478261	387.3	267.030434782609	293.982608695652	275.965217391304	126.971153846154	310.875	111.206730769231
24N02480	-101.35284	50.365898	2.63333333333336	10.0958333333333	0.230541666666667	1205.94166666667	24.5833333333333	-19.0958333333333	43.6791666666667	17.3916666666667	-13.725	17.3916666666667	-13.725	501.666666666667	91.8291666666667	17.25	55.7416666666667	227.433333333333	63.8916666666667	227.433333333333	63.8916666666667	258.578125	427.246875	67.334375
24N02481	-101.35284	50.365898	2.63333333333336	10.0958333333333	0.230541666666667	1205.94166666667	24.5833333333333	-19.0958333333333	43.6791666666667	17.3916666666667	-13.725	17.3916666666667	-13.725	501.666666666667	91.8291666666667	17.25	55.7416666666667	227.433333333333	63.8916666666667	227.433333333333	63.8916666666667	258.578125	427.246875	67.334375
24N02482	-101.35284	50.365898	2.63333333333336	10.0958333333333	0.230541666666667	1205.94166666667	24.5833333333333	-19.0958333333333	43.6791666666667	17.3916666666667	-13.725	17.3916666666667	-13.725	501.666666666667	91.8291666666667	17.25	55.7416666666667	227.433333333333	63.8916666666667	227.433333333333	63.8916666666667	258.578125	427.246875	67.334375
24N02483	-101.35284	50.365898	2.63333333333336	10.0958333333333	0.230541666666667	1205.94166666667	24.5833333333333	-19.0958333333333	43.6791666666667	17.3916666666667	-13.725	17.3916666666667	-13.725	501.666666666667	91.8291666666667	17.25	55.7416666666667	227.433333333333	63.8916666666667	227.433333333333	63.8916666666667	258.578125	427.246875	67.334375
